,sentence,#aspect terms,aspect_terms,at_polarity
79,"जब उसने finally कर दिया, वह gin and tonic नहीं बना सका--tonic नहीं पा सका।",2,"['gin and tonic', 'tonic']","['neutral', 'neutral']"
80,"Food बढ़िया है, service ठीक है।",2,"['Food', 'service']","['positive', 'neutral']"
81,Establishment presentation और style में अधिक point score करता है।,1,['Establishment'],['positive']
82,मैंने smoked salmon and roe appetizer का order दिया और यह flavor से दूर था।,1,['smoked salmon and roe appetizer'],['negative']
83,"Fresh tomato sauce, fresh mozz cheese, basil और dough जो वे imported flour के साथ बनाते हैं, यह NY में अच्छे pizza's में से एक है।",6,"['Fresh tomato sauce', 'fresh mozz cheese', 'basil', 'dough', 'pizza', 'flour']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']"
84,Food बहुत appetizing और delicious लग रहा था जब तक यह fancy plates के variety में आया था।,2,"['Food', 'plates']","['positive', 'positive']"
85,मेरे पास garlic mash with Filet Mignon था।,1,['garlic mash with Filet Mignon'],['neutral']
86,Date के लिए शानदार romantic place (पास बैठने और थोड़ी privacy के लिए corner booth table).,3,"['privacy', 'corner booth table', 'place']","['positive', 'positive', 'positive']"
87,अन्य people wait कर रहे हैं!,1,['wait'],['negative']
88,"Sauce on the pizza, garlic, और fresh tomatoes के साथ sooo good लगती है और वे skimp नहीं करते।",3,"['garlic', 'fresh tomatoes', 'Sauce on the pizza']","['positive', 'positive', 'positive']"
89,"मैंने कभी भी ऐसा delicious lamb chop नहीं खाया, salads वाकई में अच्छी तरह से lemon और extra virgnin olive oil के साथ dressed किए गए थे।",4,"['lamb chop', 'salads', 'lemon', 'extra virgnin olive oil']","['positive', 'positive', 'positive', 'positive']"
90,"Plain pizza soggy और कमाल wild mushroom(third generation-Fornini) pizza, हमने truffle oil से middle को (फिर से soggy बनाकर) drenched करके खाया था और कुछ नहीं।",3,"['Plain pizza', 'truffle oil', 'wild mushroom(third generation-Fornini) pizza']","['negative', 'neutral', 'positive']"
91,Octopus खाने वाले Octopus salad से floored किए गए हैं।,1,['Octopus salad'],['positive']
92,यहाँ dim sum servings है मेरे उपयोग से थोड़ा बड़ा है।,1,['dim sum servings'],['neutral']
93,वे trays of Dim Sum को साथ लेकर नहीं चलते।,1,['trays of Dim Sum'],['neutral']
94,"शानदार bar, सबसे gorgeous bartenders जो आपने कभी देखा है (specifically से blond lady)।",2,"['bar', 'bartenders']","['positive', 'positive']"
95,मुझे really में different और innovated touch पसंद था जो chef food को देते हैं।,2,"['chef', 'food']","['positive', 'positive']"
96,"Food अच्छा है, especially उनके अधिक basic dishes, और drinks शानदार है।",3,"['Food', 'dishes', 'drinks']","['positive', 'positive', 'positive']"
97,Sauce watery था और food में ज्यादा flavor नहीं था।,3,"['Sauce', 'food', 'flavor']","['negative', 'negative', 'negative']"
98,मेरे husband और मैं Sangria को enjoy करते हैं।,1,['Sangria'],['positive']
99,हम दोनों ने pasta dish का option चुना और उसे timely और ताज़ा served किया गया था।,2,"['pasta dish', 'served']","['positive', 'positive']"
100,"Reservations करें, लेकिन 15-20 minutes तक delay की संभावना है क्योंकि hosting staff को reservation वाले guests के seating में problem हो रही थी क्योंकि शायद Time Square के पास बहुत से walk ins थे।",4,"['hosting staff', 'Reservations', 'reservation', 'seating']","['negative', 'negative', 'neutral', 'negative']"
101,"Food के dazzling flavors से plate भर जाता है, सच्चे प्रामाणिक Thai cuisine की सुंदरता को गले लगाता है।",3,"['Food', 'Thai cuisine', 'flavors']","['positive', 'positive', 'positive']"
102,"Production symphony है, बहुत से fun को अनुभव करना है। food अधिकतर part के लिए sublime है।",1,['food'],['positive']
103,यदि आपके पास कोई reservation है तो आप max 5 minutes तक wait करेंगे - इसलिए bar में एक drink लें।,3,"['reservation', 'drink', 'bar']","['positive', 'neutral', 'neutral']"
104,ऊपर के intermediate range में priced है।,1,['priced'],['negative']
105,Food शानदार है और उनके पास reasonable prices पर selecion of wines अच्छा है।,3,"['Food', 'selecion of wines', 'prices']","['positive', 'positive', 'positive']"
106,"Location के लिए, prices बहुत ही reasionable हैं।",2,"['prices', 'Location']","['positive', 'neutral']"
107,जब मुझे किसी show से जल्दी नहीं जाना है तो मैं कुछ अन्य menu items को return और try करना चाहूंगा।,1,['menu items'],['positive']
108,"बहुत romantic fires - मैंने literally Lanterna में घंटों बिताए हैं, वहाँ के extensive wine से wine को पीते और ambience को enjoy कर रहा हूँ।",3,"['wine', 'ambience', 'wine']","['positive', 'positive', 'positive']"
109,मैं meatballs और caprese salad की पेशकश करता हूं और meal के लिए beans on toast एक शानदार start था!,4,"['meatballs', 'caprese salad', 'beans on toast', 'meal']","['positive', 'positive', 'positive', 'neutral']"
110,Reality में (potential diners को maximize करने के लिए) वे अभी भी phone reservations कर रहे थे और lobby में waiting लोगों के लिए tables को reallocate कर रहे थे।,5,"['diners', 'reservations', 'tables', 'lobby', 'waiting']","['neutral', 'negative', 'negative', 'neutral', 'negative']"
111,"Wine हमेशा अच्छी होती है, tapas हमेशा yummy होती है, खासकर warm pita bread के साथ।",3,"['Wine', 'tapas', 'pita bread']","['positive', 'positive', 'positive']"
112,Dinner बिना किसी देरी के almost 4 hours लग गए।,1,['Dinner'],['negative']
113,Restaurent में people थोड़े obnoxious और loud थे।,1,['people'],['negative']
114,"हमें enthusiastic staff खासकर manager Tony Gaskin द्वारा attend किया गया, जिन्होंने हमें menu selections के लिए शानदार suggestions दिए।",3,"['staff', 'manager', 'menu selections']","['positive', 'positive', 'positive']"
115,"यह dinner time में और अक्सर noisy, crowded bar में अंदर जाने और table के लिए waiting से बचाता है।",3,"['bar', 'waiting', 'table']","['negative', 'negative', 'negative']"
116,"यदि आप एक casual neighborhood bistro चाहते हैं जिसमें बहुत अच्छा food और excellent service हो, तो यही वो place है।",2,"['food', 'service']","['positive', 'positive']"
117,"इस दौरान, हमारी bottle ख़त्म करने के बाद bartender ने अपने reserve से champagne डालना जारी रखा और हमने turnip soup with pureed basil का आनंद लिया।",3,"['bartender', 'champagne', 'turnip soup with pureed basil']","['positive', 'neutral', 'positive']"
118,"क्योंकि हमारे पास reservation नहीं था, हम केवल back garden में बैठ सकते थे, लेकिन यहाँ एक great, secluded और perfect nice weather में था।",2,"['back garden', 'reservation']","['positive', 'negative']"
119,"Signs, specials menus, Food और यहां तक ​​के सभी waitstaff पूरी तरह से Japanese हैं।",4,"['Signs', 'specials menus', 'Food', 'waitstaff']","['positive', 'positive', 'positive', 'positive']"
120,Dining room बिना किसी music की चिल्लाहट के quietly elegant -- कितना refreshing है।,2,"['Dining room', 'music']","['positive', 'positive']"
121,Menu में seafood lovers के लिए ज्यादा variety of dishes और उन्हें तैयार करने के लिए कई तरीके से बनते थे।,3,"['Menu', 'variety of dishes', 'seafood']","['positive', 'positive', 'positive']"
122,Owner और staff सभी Japanese होने के साथ ही पूरे ambiance से जुड़े हुए हैं।,3,"['staff', 'ambiance', 'Owner']","['positive', 'positive', 'positive']"
123,"Crunchy tuna को try करें, यह कमाल का है।",1,['Crunchy tuna'],['positive']
124,Bruscetta एक बहुत बड़ा soggy है लेकिन अच्छे mix of greens (न कि iceberg) के साथ fresh salads और सभी dishes लगातार serve किए जा रहे थे।,6,"['Bruscetta', 'salads', 'dishes', 'mix of greens', 'iceberg', 'serve']","['negative', 'positive', 'positive', 'positive', 'neutral', 'positive']"
125,"service ठीक है,लेकिन कुछ लोगों को वह नहीं मिला what they asked for.",1,['service'],['neutral']
126,"Food स्वादिष्ट है - specials से regular menu-fare तक, dishes ने कभी disappoint नहीं किये हैं।",4,"['Food', 'dishes', 'specials', 'regular menu-fare']","['positive', 'positive', 'positive', 'positive']"
127,Food quickly और efficiently तैयार किया गया है।,1,['Food'],['positive']
128,Prices wonderfully तरीके से कम हैं।,1,['Prices'],['positive']
129,"Bar food की तुलना में सामान्य से बहुत अधिक, अपने hand-crafted beers के sample लेते हुए menu को enjoy करने के लिए वहां जाएं।",3,"['Bar food', 'menu', 'hand-crafted beers']","['positive', 'positive', 'positive']"
130,Pickles एक शानदार addition था।,1,['Pickles'],['positive']
131,Chef और waitress का knowledge average से कम है।,2,"['Chef', 'waitress']","['negative', 'negative']"
132,Drink के लिए बहुत great place है क्योंकि उनके पास 100 kinds of beer हैं।,2,"['kinds of beer', 'Drink']","['positive', 'neutral']"
133,"मैं इस place पर पूरी तरह से hooked हूं, यह ridiculous है।",0,[],[]
134,"जरूरत से कम space grant की गयी, largest restaurants में मिलने वाली यह best service है।",2,"['space', 'service']","['negative', 'positive']"
135,"हालांकि no-class Famous Ray's द्वारा निकाले जाने के बाद भी, Sal ने अपने पिता के legacies को smile के साथ खड़ा किया, उसके community के लिए true love, और उसके Outstanding Pizza को न भूलें! ",1,['Pizza'],['positive']
136,बल्कि यह अन्य की तुलना में एक cramped और busy restaurant है और यह early close हो जाता है।,0,[],[]
137,"Environment romantic है, लेकिन food horrible है, service pathetic है, और gabriella सबके बारे में झूठ कहती है।",3,"['Environment', 'food', 'service']","['positive', 'negative', 'negative']"
138,"हमने crawfish boiled खाया और किसी mess के बावजूद, यह मजेदार और quite tasty भी था।",1,['crawfish boiled'],['positive']
139,यह dish मेरी favorite है और जब भी मैं वहाँ जाता हूँ यह मुझे always मिलती है और कभी इससे tired नहीं होता हूँ।,1,['dish'],['positive']
140,"यह एक regular roll को एक inside-out roll में बदलने के लिए $2 extra cost लगता है, लेकिन यह roll size में triples से अधिक होता है, और वह केवल rice के लिए नहीं है।",4,"['roll', 'roll', 'roll', 'rice']","['negative', 'negative', 'negative', 'neutral']"
141,"यह मेरे little mouth में perfect consistency के साथ melt हो गया और यह बहुत fishy, creamy और slightly buttery भी नहीं था।",0,[],[]
142,मेरे पास salmon dish था और जबकि यह paid किए गए price के लिए अच्छा था मैंने इसमें कुछ type के flavor सोचे थे।,3,"['salmon dish', 'flavor', 'price']","['conflict', 'negative', 'neutral']"
143,Bill बिना drinks के 2 lunch के लिए लगभग $25 की रही है।,3,"['Bill', 'lunch', 'drinks']","['neutral', 'neutral', 'neutral']"
144,Fish ज्यादा पका था।,1,['Fish'],['negative']
145,हम prix fixe में Monday को जाते रहे हैं और Blue Ribbon में food के साथ हमारा experience comparable रहा है।,2,"['food', 'prix fixe']","['neutral', 'neutral']"
146,अपना create करने के लिए 100 से अधिक different choices.,0,[],[]
147,लेकिन thai definitely महान नहीं है - bland और indistinguished.,1,['thai'],['negative']
148,"कहने की आवश्यकता नहीं, मैं कभी वापस नहीं जा रहा हूं और आपको भी wary होना चाहिए।",0,[],[]
149,कुछ drinks और appetizers लेकर friend और उसकी girlfriend के साथ double date पर गया।,2,"['drinks', 'appetizers']","['neutral', 'neutral']"
150,"यह ऐसा है जैसे उन्होने बचा हुआ chicken लिया, oil डाला और उस पर pepper powder sprinkle किया (sauce translucent और लाल था)।",4,"['chicken', 'oil', 'pepper powder', 'sauce']","['negative', 'neutral', 'neutral', 'negative']"
151,"किसी ने सोचा कि हमें apology या complimentary drinks मिलेगा - बजाय इसके, हमें एक snobby waiter मिला जिसने 15 मिनट तक हमारा order भी नहीं लिया और जब हमने उसे ऐसा करने के लिए कहा तो उसने हमें lip दिया।",2,"['waiter', 'drinks']","['negative', 'neutral']"
152,कुछ healthy drinks और desserts को साथ लेकर अपने friends के साथ hang के लिए एक मस्त place है।,3,"['place', 'drinks', 'desserts']","['positive', 'positive', 'positive']"
153,"कोई dress codes नहीं, कोई attitudes नहीं, बहुत ज्यादा comfort companionship है, हमेशा busy Midtown में relax करने के लिए एक शानदार place है।",3,"['dress codes', 'attitudes', 'place']","['positive', 'positive', 'positive']"
154,"Okay-मैं oily part को mind नहीं करता (क्योंकि अधिकतर यह उसी तरह से cooked होता है), लेकिन यह काफी bland था।",0,[],[]
155,जबकि wines by the glass पर्याप्त नहीं।,1,['wines by the glass'],['negative']
156,मुझे लगता है कि locals इस place को बहुत high rate करते हैं।,0,[],[]
157,यह उनके लिए must है जो Shabu-Shabu को love करते हैं।,1,['Shabu-Shabu'],['positive']
158,थोड़ा crowded और थोड़ा overpriced होने के अलावा एक atmosphere energy से भरा हुआ (और बिलकुल beautiful people) और food surprising अच्छा कर रहा था!,3,"['atmosphere', 'people', 'food']","['positive', 'positive', 'positive']"
159,हम Valentines पर Ino गए।,0,[],[]
160,"मैंने tamarind duck और मेरी wife ने noodles with ground beef का order दिया, और हम दोनों Thai flavors dishes के बनने के तरीके से बहुत खुश थे।",4,"['tamarind duck', 'noodles with ground beef', 'dishes', 'Thai flavors']","['positive', 'positive', 'positive', 'positive']"
161,"हाँ, अगर आपके पास reservations नहीं है तो wait करना पर सकता है।",2,"['wait', 'reservations']","['negative', 'neutral']"
162,"कुल मिलाकर A oh ya, हालांकि वहाँ waiting deff लायक है।",1,['waiting'],['negative']
163,यह lava cake dessert कमाल का था और मैंने इसे recommend किया।,1,['lava cake dessert'],['positive']
164,"और Kruno का, beverage manager जो best bartender है उससे मुझे अभी मिलना है।",2,"['bartender', 'beverage manager']","['positive', 'positive']"
165,Mommy के साथ जाने वाला (person जो केवल मुझे यहां से ले जाना afford कर सकता था)।,0,[],[]
166,"Friends को place recommend की है, हमेशा अच्छा response मिलता है।",0,[],[]
167,इसे better तरीके से handle किया जा सकता था।,0,[],[]
168,Service चौकस थी और उसके menu items के suggestions सही थे।,2,"['Service', 'menu items']","['positive', 'positive']"
169,"इसलिए, मैं वास्तव में कभी भी M proper नहीं गया, लेकिन मैंने कुछ times delivered करके खाया है।",1,['delivered'],['neutral']
170,"सभी 5 नए avenue restaurants में से, यह एक offers अब तक values for your money के लिए best रहा है।",1,['values for your money'],['positive']
171,"एक narrow corridor छोटे space को lead करता है जहां तीन छोटे सफ़ेद tiled counters, mess की एक great deal (bottles की stacks, cans) और 12-14 entrees वाली एक small counter को दर्शाती है।",5,"['corridor', 'space', 'counters', 'counter', 'entrees']","['negative', 'negative', 'negative', 'negative', 'neutral']"
172,हम बहुत ही pleasantly surprised हुए।,0,[],[]
173,"Food just भयानक था, वास्तव में ATROCIOUS।",1,['Food'],['negative']
174,The soup for the udon was soy sauce and water.,3,"['soup for the udon', 'soy sauce', 'water']","['negative', 'neutral', 'neutral']"
175,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",3,"['anti-pasta', 'calamari', 'filling pasta mains']","['positive', 'positive', 'positive']"
176,Drinks amazing है और 8pm तक आधा खत्म हो गया।,1,['Drinks'],['positive']
177,मैं nha trang वास्तव में beef cubes के लिए सौ बार आ चुका हूँ- वे इतने अच्छे है।,1,['beef cubes'],['positive']
178,"Service, wine selection, ambiance सब कमाल का है और recognition deserve करता है।",3,"['Service', 'wine selection', 'ambiance']","['positive', 'positive', 'positive']"
179,मेरे पास brunch के लिए eggs benedict था जो मेरे पूरे life में सबसे worst था मैंने hollondaise sauce को पूरी तरह से हटाने की कोशिश किया जो इतना fail हुआ था।,3,"['eggs benedict', 'hollondaise sauce', 'brunch']","['negative', 'negative', 'neutral']"
180,"मैं near-by में work करता हूँ, और उनके neighborhood में सबसे अच्छा oatmeal मिलता है- packaged और quick-cooked item का नहीं।",1,['oatmeal'],['positive']
181,"मुझे कहना पड़ेगा, यह Bengali Fast Food joint स्पष्ट रूप से मेरा पसंदीदा है।",0,[],[]
182,"Dim sum ठीक है लेकिन वह fresh taste नहीं है, और little dishes भाप से गर्म नहीं दिखते हैं क्योंकि उन्हें (यहां Chinese की lack भी नोट करनी चाहिए)।",2,"['Dim sum', 'little dishes']","['negative', 'negative']"
183,"Prima facie से इस place को judge न करें, आपको believe करने के लिए try करना होगा, literate heart के लिए home के बाहर home है।",0,[],[]
184,"वह man जो party को host कर रहा था, 7 में से 1 table हमारे party के लिए save करने का promise किया था, फिर उसी table पर 2 के party को sat करके वह save (के दौरान दोनों पूरा खुल जाते थे) करने लगा।",3,"['man', 'table', 'table']","['negative', 'neutral', 'negative']"
185,गर्म muggy के दिन sangria बहुत स्वादिष्ट और अच्छा था।,1,['sangria'],['positive']
186,"Quite frankly, यह कुछ सबसे खराब sushi है जो मैंने कभी try किया है।",1,['sushi'],['negative']
187,"कुल मिलाकर price tag बहुत बहुत expensive था, जो मैंने expect किया था।",1,['price tag'],['negative']
